job_title,job_description,job_skill_1,job_skill_2,job_skill_3
Software Engineer,Plans and executes marketing campaigns across channels.,SEO,UX Research,Scrum
Software Engineer,Analyzes data to drive business decisions and strategies.,Figma,SEM,SQL
Product Manager,Designs user interfaces and ensures optimal user experience.,Project Management,Data Analysis,Scrum
Data Analyst,Manages product lifecycle and works with cross-functional teams.,Project Management,UX Research,SQL
Data Analyst,Develops software applications using modern technologies.,Figma,UX Research,Scrum
Product Manager,Develops software applications using modern technologies.,Figma,UX Research,Scrum
Product Manager,Plans and executes marketing campaigns across channels.,Project Management,UX Research,Scrum
Data Analyst,Designs user interfaces and ensures optimal user experience.,SEO,SEM,Content Strategy
UX Designer,Develops software applications using modern technologies.,Python,Data Analysis,SQL
Marketing Specialist,Plans and executes marketing campaigns across channels.,Excel,Java,Scrum
Software Engineer,Plans and executes marketing campaigns across channels.,Python,UX Research,SQL
Software Engineer,Manages product lifecycle and works with cross-functional teams.,Figma,UX Research,Scrum
UX Designer,Plans and executes marketing campaigns across channels.,Python,Agile,SQL
Data Analyst,Plans and executes marketing campaigns across channels.,Python,UX Research,Prototyping
Data Analyst,Designs user interfaces and ensures optimal user experience.,SEO,UX Research,Content Strategy
UX Designer,Develops software applications using modern technologies.,SEO,SEM,Scrum
Data Analyst,Plans and executes marketing campaigns across channels.,Excel,UX Research,Content Strategy
UX Designer,Designs user interfaces and ensures optimal user experience.,SEO,UX Research,Prototyping
Marketing Specialist,Plans and executes marketing campaigns across channels.,SEO,Java,Scrum
Software Engineer,Manages product lifecycle and works with cross-functional teams.,Project Management,Data Analysis,SQL
Software Engineer,Plans and executes marketing campaigns across channels.,Excel,UX Research,Scrum
Marketing Specialist,Analyzes data to drive business decisions and strategies.,Python,Agile,Content Strategy
UX Designer,Designs user interfaces and ensures optimal user experience.,Project Management,Agile,Content Strategy
Marketing Specialist,Plans and executes marketing campaigns across channels.,Excel,Data Analysis,Prototyping
UX Designer,Develops software applications using modern technologies.,Python,Data Analysis,Prototyping
UX Designer,Manages product lifecycle and works with cross-functional teams.,Project Management,SEM,Prototyping
UX Designer,Develops software applications using modern technologies.,SEO,Java,Content Strategy
Software Engineer,Analyzes data to drive business decisions and strategies.,Figma,SEM,Prototyping
UX Designer,Analyzes data to drive business decisions and strategies.,Project Management,SEM,SQL
Software Engineer,Manages product lifecycle and works with cross-functional teams.,Figma,UX Research,Content Strategy
Marketing Specialist,Analyzes data to drive business decisions and strategies.,SEO,Java,Scrum
Software Engineer,Designs user interfaces and ensures optimal user experience.,Excel,Data Analysis,SQL
UX Designer,Develops software applications using modern technologies.,Excel,Data Analysis,Prototyping
Software Engineer,Analyzes data to drive business decisions and strategies.,Figma,SEM,SQL
Data Analyst,Analyzes data to drive business decisions and strategies.,Python,SEM,SQL
Product Manager,Analyzes data to drive business decisions and strategies.,SEO,UX Research,SQL
Marketing Specialist,Manages product lifecycle and works with cross-functional teams.,Python,UX Research,SQL
Marketing Specialist,Develops software applications using modern technologies.,Figma,Agile,Scrum
Software Engineer,Analyzes data to drive business decisions and strategies.,Figma,Data Analysis,Content Strategy
Data Analyst,Plans and executes marketing campaigns across channels.,Project Management,Java,Content Strategy
Marketing Specialist,Plans and executes marketing campaigns across channels.,Project Management,Data Analysis,Scrum
UX Designer,Plans and executes marketing campaigns across channels.,Excel,UX Research,Content Strategy
Software Engineer,Manages product lifecycle and works with cross-functional teams.,Python,SEM,Content Strategy
Data Analyst,Plans and executes marketing campaigns across channels.,Project Management,SEM,Prototyping
Marketing Specialist,Designs user interfaces and ensures optimal user experience.,SEO,Java,SQL
Software Engineer,Analyzes data to drive business decisions and strategies.,SEO,Agile,Scrum
Product Manager,Analyzes data to drive business decisions and strategies.,Python,SEM,Scrum
Software Engineer,Analyzes data to drive business decisions and strategies.,Python,Data Analysis,SQL
Product Manager,Analyzes data to drive business decisions and strategies.,Python,UX Research,SQL
UX Designer,Plans and executes marketing campaigns across channels.,Figma,Agile,Scrum
Software Engineer,Plans and executes marketing campaigns across channels.,SEO,Java,SQL
Software Engineer,Analyzes data to drive business decisions and strategies.,Excel,SEM,SQL
Marketing Specialist,Develops software applications using modern technologies.,Project Management,SEM,Content Strategy
Marketing Specialist,Manages product lifecycle and works with cross-functional teams.,Project Management,Java,SQL
Data Analyst,Manages product lifecycle and works with cross-functional teams.,Figma,UX Research,SQL
Data Analyst,Manages product lifecycle and works with cross-functional teams.,Excel,Java,SQL
Product Manager,Plans and executes marketing campaigns across channels.,Python,SEM,Prototyping
Product Manager,Develops software applications using modern technologies.,Python,UX Research,Prototyping
Marketing Specialist,Plans and executes marketing campaigns across channels.,SEO,Data Analysis,SQL
Software Engineer,Develops software applications using modern technologies.,Python,Data Analysis,SQL
Software Engineer,Plans and executes marketing campaigns across channels.,SEO,SEM,Scrum
UX Designer,Analyzes data to drive business decisions and strategies.,Excel,Java,SQL
UX Designer,Plans and executes marketing campaigns across channels.,Python,Agile,Scrum
Product Manager,Manages product lifecycle and works with cross-functional teams.,Figma,UX Research,Content Strategy
Product Manager,Analyzes data to drive business decisions and strategies.,Project Management,Data Analysis,Scrum
Software Engineer,Plans and executes marketing campaigns across channels.,Figma,SEM,Scrum
Marketing Specialist,Plans and executes marketing campaigns across channels.,Excel,SEM,SQL
UX Designer,Designs user interfaces and ensures optimal user experience.,SEO,Java,Content Strategy
Data Analyst,Manages product lifecycle and works with cross-functional teams.,SEO,UX Research,SQL
Software Engineer,Develops software applications using modern technologies.,SEO,Data Analysis,Prototyping
Data Analyst,Manages product lifecycle and works with cross-functional teams.,Figma,SEM,Content Strategy
Marketing Specialist,Designs user interfaces and ensures optimal user experience.,Python,Java,Scrum
Marketing Specialist,Plans and executes marketing campaigns across channels.,Figma,Agile,SQL
Data Analyst,Develops software applications using modern technologies.,Excel,Java,Prototyping
Software Engineer,Designs user interfaces and ensures optimal user experience.,Python,UX Research,SQL
Marketing Specialist,Develops software applications using modern technologies.,Project Management,Agile,SQL
Product Manager,Plans and executes marketing campaigns across channels.,Python,Java,SQL
Marketing Specialist,Plans and executes marketing campaigns across channels.,Excel,Data Analysis,SQL
UX Designer,Analyzes data to drive business decisions and strategies.,Project Management,Java,SQL
Product Manager,Manages product lifecycle and works with cross-functional teams.,SEO,Data Analysis,SQL
Marketing Specialist,Develops software applications using modern technologies.,Project Management,Java,Content Strategy
Marketing Specialist,Analyzes data to drive business decisions and strategies.,Excel,SEM,Prototyping
Software Engineer,Develops software applications using modern technologies.,Figma,Java,SQL
Data Analyst,Designs user interfaces and ensures optimal user experience.,Figma,Java,Content Strategy
Product Manager,Designs user interfaces and ensures optimal user experience.,Python,Data Analysis,Prototyping
Marketing Specialist,Plans and executes marketing campaigns across channels.,Excel,UX Research,SQL
Product Manager,Develops software applications using modern technologies.,Project Management,Java,Scrum
Software Engineer,Plans and executes marketing campaigns across channels.,Figma,Java,Scrum
Software Engineer,Develops software applications using modern technologies.,Project Management,UX Research,Prototyping
Marketing Specialist,Analyzes data to drive business decisions and strategies.,Excel,UX Research,Scrum
UX Designer,Analyzes data to drive business decisions and strategies.,Figma,SEM,SQL
UX Designer,Plans and executes marketing campaigns across channels.,Figma,SEM,Scrum
Software Engineer,Plans and executes marketing campaigns across channels.,Python,Data Analysis,SQL
Software Engineer,Plans and executes marketing campaigns across channels.,Python,SEM,SQL
Product Manager,Plans and executes marketing campaigns across channels.,Figma,Data Analysis,SQL
Software Engineer,Plans and executes marketing campaigns across channels.,SEO,Agile,Prototyping
UX Designer,Designs user interfaces and ensures optimal user experience.,Excel,Java,Prototyping
Product Manager,Plans and executes marketing campaigns across channels.,Python,Data Analysis,Content Strategy
Product Manager,Analyzes data to drive business decisions and strategies.,Excel,SEM,Content Strategy
Marketing Specialist,Analyzes data to drive business decisions and strategies.,Figma,SEM,SQL
UX Designer,Manages product lifecycle and works with cross-functional teams.,Figma,Data Analysis,SQL
Software Engineer,Designs user interfaces and ensures optimal user experience.,Excel,Java,SQL
UX Designer,Plans and executes marketing campaigns across channels.,SEO,Agile,Content Strategy
Software Engineer,Analyzes data to drive business decisions and strategies.,Project Management,Java,Content Strategy
Data Analyst,Designs user interfaces and ensures optimal user experience.,Figma,SEM,Scrum
UX Designer,Plans and executes marketing campaigns across channels.,Excel,UX Research,Content Strategy
Data Analyst,Analyzes data to drive business decisions and strategies.,Figma,UX Research,Prototyping
Data Analyst,Develops software applications using modern technologies.,Excel,Java,Prototyping
Marketing Specialist,Plans and executes marketing campaigns across channels.,SEO,UX Research,Content Strategy
Marketing Specialist,Analyzes data to drive business decisions and strategies.,Excel,SEM,Scrum
Product Manager,Analyzes data to drive business decisions and strategies.,Figma,Agile,SQL
Software Engineer,Manages product lifecycle and works with cross-functional teams.,Figma,Agile,SQL
Product Manager,Analyzes data to drive business decisions and strategies.,Python,SEM,SQL
Software Engineer,Manages product lifecycle and works with cross-functional teams.,Excel,UX Research,Prototyping
UX Designer,Plans and executes marketing campaigns across channels.,Python,UX Research,Content Strategy
Data Analyst,Plans and executes marketing campaigns across channels.,Python,Java,SQL
Data Analyst,Manages product lifecycle and works with cross-functional teams.,Figma,Data Analysis,Prototyping
Data Analyst,Designs user interfaces and ensures optimal user experience.,SEO,Data Analysis,Prototyping
Product Manager,Manages product lifecycle and works with cross-functional teams.,Excel,UX Research,Content Strategy
UX Designer,Develops software applications using modern technologies.,SEO,Agile,Scrum
Software Engineer,Develops software applications using modern technologies.,Figma,SEM,SQL
Product Manager,Develops software applications using modern technologies.,Excel,UX Research,SQL
Product Manager,Analyzes data to drive business decisions and strategies.,Figma,SEM,Prototyping
Software Engineer,Plans and executes marketing campaigns across channels.,Python,Data Analysis,SQL
Software Engineer,Designs user interfaces and ensures optimal user experience.,Project Management,UX Research,Scrum
Product Manager,Plans and executes marketing campaigns across channels.,Python,SEM,Scrum
Software Engineer,Develops software applications using modern technologies.,Project Management,Agile,SQL
Marketing Specialist,Plans and executes marketing campaigns across channels.,Project Management,Agile,Content Strategy
UX Designer,Designs user interfaces and ensures optimal user experience.,Excel,SEM,Content Strategy
Software Engineer,Designs user interfaces and ensures optimal user experience.,Figma,UX Research,Prototyping
Product Manager,Designs user interfaces and ensures optimal user experience.,SEO,Java,Scrum
UX Designer,Develops software applications using modern technologies.,Excel,SEM,Scrum
Software Engineer,Designs user interfaces and ensures optimal user experience.,Figma,Data Analysis,Scrum
Marketing Specialist,Develops software applications using modern technologies.,Figma,SEM,SQL
UX Designer,Develops software applications using modern technologies.,Figma,UX Research,SQL
Data Analyst,Develops software applications using modern technologies.,Python,Java,SQL
UX Designer,Designs user interfaces and ensures optimal user experience.,Python,Data Analysis,SQL
UX Designer,Designs user interfaces and ensures optimal user experience.,SEO,SEM,SQL
Product Manager,Manages product lifecycle and works with cross-functional teams.,Project Management,SEM,Prototyping
Marketing Specialist,Develops software applications using modern technologies.,Python,Data Analysis,SQL
UX Designer,Develops software applications using modern technologies.,Project Management,Java,Prototyping
Marketing Specialist,Manages product lifecycle and works with cross-functional teams.,SEO,Agile,Content Strategy
Data Analyst,Manages product lifecycle and works with cross-functional teams.,Project Management,Java,SQL
Software Engineer,Manages product lifecycle and works with cross-functional teams.,SEO,SEM,SQL
Marketing Specialist,Manages product lifecycle and works with cross-functional teams.,Excel,Java,Scrum
UX Designer,Develops software applications using modern technologies.,Excel,SEM,SQL
Marketing Specialist,Manages product lifecycle and works with cross-functional teams.,Figma,UX Research,Content Strategy
Marketing Specialist,Analyzes data to drive business decisions and strategies.,SEO,Agile,SQL
UX Designer,Plans and executes marketing campaigns across channels.,Project Management,Data Analysis,Scrum
UX Designer,Develops software applications using modern technologies.,Excel,UX Research,SQL
Product Manager,Analyzes data to drive business decisions and strategies.,Project Management,UX Research,SQL
Marketing Specialist,Analyzes data to drive business decisions and strategies.,Python,Java,SQL
Marketing Specialist,Manages product lifecycle and works with cross-functional teams.,Excel,Java,SQL
Software Engineer,Designs user interfaces and ensures optimal user experience.,Excel,Java,SQL
Software Engineer,Analyzes data to drive business decisions and strategies.,Project Management,Agile,SQL
UX Designer,Analyzes data to drive business decisions and strategies.,Figma,Data Analysis,SQL
Marketing Specialist,Develops software applications using modern technologies.,Python,SEM,SQL
Software Engineer,Designs user interfaces and ensures optimal user experience.,Project Management,Agile,SQL
UX Designer,Analyzes data to drive business decisions and strategies.,SEO,Java,Scrum
Software Engineer,Designs user interfaces and ensures optimal user experience.,SEO,UX Research,SQL
Software Engineer,Manages product lifecycle and works with cross-functional teams.,SEO,Agile,Content Strategy
UX Designer,Designs user interfaces and ensures optimal user experience.,Project Management,SEM,SQL
Product Manager,Designs user interfaces and ensures optimal user experience.,Excel,Agile,Content Strategy
Product Manager,Analyzes data to drive business decisions and strategies.,Figma,Java,SQL
Data Analyst,Analyzes data to drive business decisions and strategies.,Project Management,UX Research,Prototyping
Software Engineer,Manages product lifecycle and works with cross-functional teams.,SEO,UX Research,SQL
Data Analyst,Plans and executes marketing campaigns across channels.,Excel,Java,SQL
Data Analyst,Plans and executes marketing campaigns across channels.,Figma,SEM,SQL
Data Analyst,Manages product lifecycle and works with cross-functional teams.,SEO,Java,Prototyping
UX Designer,Plans and executes marketing campaigns across channels.,Project Management,UX Research,Content Strategy
Product Manager,Plans and executes marketing campaigns across channels.,SEO,Agile,Content Strategy
Software Engineer,Develops software applications using modern technologies.,Project Management,Java,Prototyping
Software Engineer,Develops software applications using modern technologies.,Python,Data Analysis,SQL
UX Designer,Designs user interfaces and ensures optimal user experience.,Project Management,SEM,SQL
UX Designer,Manages product lifecycle and works with cross-functional teams.,Excel,Agile,SQL
UX Designer,Develops software applications using modern technologies.,Excel,Agile,Scrum
Data Analyst,Analyzes data to drive business decisions and strategies.,SEO,Agile,Content Strategy
UX Designer,Develops software applications using modern technologies.,Project Management,Data Analysis,SQL
Data Analyst,Designs user interfaces and ensures optimal user experience.,Python,UX Research,SQL
Marketing Specialist,Designs user interfaces and ensures optimal user experience.,SEO,UX Research,SQL
Marketing Specialist,Designs user interfaces and ensures optimal user experience.,Excel,SEM,Content Strategy
Data Analyst,Develops software applications using modern technologies.,Project Management,Java,Scrum
Software Engineer,Analyzes data to drive business decisions and strategies.,Excel,Agile,SQL
Product Manager,Designs user interfaces and ensures optimal user experience.,SEO,Agile,SQL
Software Engineer,Plans and executes marketing campaigns across channels.,Project Management,UX Research,Prototyping
Software Engineer,Designs user interfaces and ensures optimal user experience.,Excel,Java,Prototyping
Marketing Specialist,Manages product lifecycle and works with cross-functional teams.,Figma,UX Research,SQL
UX Designer,Develops software applications using modern technologies.,Project Management,Java,Content Strategy
Data Analyst,Develops software applications using modern technologies.,Figma,SEM,SQL
Software Engineer,Analyzes data to drive business decisions and strategies.,Project Management,Java,SQL
UX Designer,Analyzes data to drive business decisions and strategies.,Python,Java,Scrum
Marketing Specialist,Plans and executes marketing campaigns across channels.,SEO,SEM,SQL
Data Analyst,Manages product lifecycle and works with cross-functional teams.,SEO,Java,Content Strategy
Data Analyst,Plans and executes marketing campaigns across channels.,Project Management,Data Analysis,Scrum
Data Analyst,Plans and executes marketing campaigns across channels.,Figma,Java,Prototyping
Data Analyst,Designs user interfaces and ensures optimal user experience.,Project Management,Agile,SQL
Data Analyst,Designs user interfaces and ensures optimal user experience.,Excel,SEM,SQL
Marketing Specialist,Designs user interfaces and ensures optimal user experience.,SEO,SEM,Content Strategy
UX Designer,Analyzes data to drive business decisions and strategies.,Excel,Java,SQL
Software Engineer,Plans and executes marketing campaigns across channels.,Figma,Java,SQL
Marketing Specialist,Manages product lifecycle and works with cross-functional teams.,SEO,UX Research,SQL
UX Designer,Analyzes data to drive business decisions and strategies.,Python,UX Research,Prototyping
Marketing Specialist,Analyzes data to drive business decisions and strategies.,Excel,Agile,Prototyping
Product Manager,Designs user interfaces and ensures optimal user experience.,Excel,Java,SQL
Software Engineer,Develops software applications using modern technologies.,Excel,Agile,SQL
Product Manager,Manages product lifecycle and works with cross-functional teams.,SEO,Java,SQL
Product Manager,Designs user interfaces and ensures optimal user experience.,Figma,UX Research,Scrum
Data Analyst,Manages product lifecycle and works with cross-functional teams.,Excel,Data Analysis,SQL
Marketing Specialist,Develops software applications using modern technologies.,SEO,UX Research,SQL
Software Engineer,Designs user interfaces and ensures optimal user experience.,Python,Java,Content Strategy
